embedding_dim,model_name,pro_sim,knn_sim,sec_sim
8,GraphSAGE,0.341982584,0.062698225,0.511056114
8,GraphSAGE,0.189088407,0.047107835,0.550556245
8,GraphSAGE,0.422327388,0.053897211,0.727085474
8,GraphSAGE,0.902745179,0.105523277,0.88385053
8,GraphSAGE,0.287125189,0.052652753,0.428113596
8,GraphSAGE,0.071730951,0.026361496,0.356176994
8,GraphSAGE,0.27134158,0.046397598,0.545967393
8,GraphSAGE,0.155133421,0.053685458,0.630067211
8,GraphSAGE,0.486425563,0.045815674,0.767285406
8,GraphSAGE,0.039856687,0.031780389,0.483544297
8,GraphSAGE,0.184286957,0.047380452,0.411357766
16,GraphSAGE,0.235467746,0.045201801,0.620514241
16,GraphSAGE,0.40405162,0.064038218,0.715545377
16,GraphSAGE,0.497666916,0.054991658,0.796250985
16,GraphSAGE,0.373055387,0.074292032,0.785504608
16,GraphSAGE,0.452660915,0.078748835,0.851354199
16,GraphSAGE,0.525234167,0.078157905,0.840032697
16,GraphSAGE,0.344751198,0.055741234,0.715814884
16,GraphSAGE,0.702658259,0.101127029,0.93421482
16,GraphSAGE,0.36375984,0.074889142,0.806094433
16,GraphSAGE,0.726642684,0.063680257,0.726518537
16,GraphSAGE,0.381324279,0.044218322,0.516417918
16,GraphSAGE,0.470660888,0.049182395,0.63131939
16,GraphSAGE,0.517681391,0.041976384,0.665931158
16,GraphSAGE,0.456580027,0.051389427,0.61359777
16,GraphSAGE,0.750790005,0.05990367,0.740696668
16,GraphSAGE,0.321820575,0.043402712,0.653098566
16,GraphSAGE,0.502886354,0.052213837,0.692509117
16,GraphSAGE,0.576453823,0.053927415,0.723807586
16,GraphSAGE,0.720226791,0.092439396,0.766938005
16,GraphSAGE,0.682776527,0.073956454,0.880387183
16,GraphSAGE,0.692802647,0.082024094,0.795222741
16,GraphSAGE,0.926677521,0.110125782,0.920114449
16,GraphSAGE,0.410419463,0.060835956,0.745320457
16,GraphSAGE,0.724069008,0.088701643,0.801464538
16,GraphSAGE,0.328435319,0.049408794,0.622490318
16,GraphSAGE,0.679198434,0.056103897,0.881736527
16,GraphSAGE,0.783920331,0.062436999,0.874244065
16,GraphSAGE,0.483078979,0.047532212,0.684879404
16,GraphSAGE,0.348371909,0.053862095,0.688704065
16,GraphSAGE,0.329336641,0.050019581,0.626360125
16,GraphSAGE,0.53488787,0.069617466,0.787266416
16,GraphSAGE,0.435159955,0.073506318,0.683388267
16,GraphSAGE,0.654442115,0.073839177,0.7509578
16,GraphSAGE,0.540150978,0.0675812,0.784231901
16,GraphSAGE,0.963656731,0.148160886,0.92982303
16,GraphSAGE,0.760974473,0.092571186,0.927924686
16,GraphSAGE,0.597477249,0.058698664,0.859441622
16,GraphSAGE,0.374305462,0.062562337,0.768786999
16,GraphSAGE,0.53608113,0.06619758,0.796179318
16,GraphSAGE,0.620419385,0.067474038,0.766888001
16,GraphSAGE,0.38727363,0.0613458,0.7208763
16,GraphSAGE,0.422294607,0.069465552,0.686003369
16,GraphSAGE,0.377277697,0.052593093,0.752070138
16,GraphSAGE,0.666360198,0.076547719,0.80450723
16,GraphSAGE,0.53386707,0.069147539,0.83531809
32,GraphSAGE,0.018138035,0.069130611,0.498470188
32,GraphSAGE,0.280935205,0.061442284,0.729543242
32,GraphSAGE,0.284651745,0.068269087,0.664706711
32,GraphSAGE,0.01942546,0.066221383,0.527125194
32,GraphSAGE,0.021933534,0.065751219,0.549482334
32,GraphSAGE,0.12598886,0.05674905,0.648245802
32,GraphSAGE,0.021384746,0.057166908,0.530491639
32,GraphSAGE,0.018025281,0.063513084,0.526043938
32,GraphSAGE,0.547761987,0.079276637,0.689224972
32,GraphSAGE,0.551374929,0.070922991,0.833378514
32,GraphSAGE,0.247421211,0.064441672,0.638398859
32,GraphSAGE,0.964837708,0.152015463,0.919052129
32,GraphSAGE,0.925057323,0.109366185,0.924249662
32,GraphSAGE,0.600980906,0.067639355,0.876390177
32,GraphSAGE,0.789794687,0.091304896,0.919330269
