model_name,embedding_dim,num_node,pro_sim,knn_sim,sec_sim
GraphSAGE,64,16000,0.903908057,0.424914355,0.998679942
GraphSAGE,64,16000,0.937157209,0.437748859,0.999178281
GraphSAGE,64,16000,0.912717964,0.440317218,0.998872444
GraphSAGE,64,16000,0.893270652,0.403417569,0.99773216
GraphSAGE,128,1000,0.911264461,0.606258384,0.996166718
GraphSAGE,128,1000,0.917736054,0.612196915,0.996368588
GraphSAGE,128,1000,0.848888402,0.578266385,0.994556682
GraphSAGE,128,1000,0.881550779,0.594716945,0.995682115
GraphSAGE,128,1000,0.938511012,0.629166483,0.996476225
GraphSAGE,128,1000,0.920315024,0.62528909,0.99631815
GraphSAGE,128,1000,0.937818781,0.639955102,0.997130772
GraphSAGE,128,1000,0.913452766,0.633794878,0.997070802
GraphSAGE,128,1000,0.948427713,0.693088458,0.998511828
GraphSAGE,128,1000,0.935922085,0.658324122,0.997500131
GraphSAGE,128,2000,0.911645562,0.578284116,0.997618295
GraphSAGE,128,2000,0.917720827,0.573355734,0.997582275
GraphSAGE,128,2000,0.84847177,0.550119104,0.996513629
GraphSAGE,128,2000,0.880160873,0.559425301,0.997239256
GraphSAGE,128,2000,0.938686329,0.586831983,0.997684546
GraphSAGE,128,2000,0.920816622,0.589967521,0.99754312
GraphSAGE,128,2000,0.938013094,0.607033639,0.998191375
GraphSAGE,128,2000,0.913647108,0.600240323,0.998115991
GraphSAGE,128,2000,0.948588206,0.65976388,0.999050146
GraphSAGE,128,2000,0.936939788,0.621620627,0.998398661
GraphSAGE,128,4000,0.91109064,0.552562264,0.998356948
GraphSAGE,128,4000,0.917857792,0.539082611,0.998245183
GraphSAGE,128,4000,0.847394673,0.521171063,0.99755257
GraphSAGE,128,4000,0.879848146,0.532659927,0.99809199
GraphSAGE,128,4000,0.93830233,0.550808432,0.998444255
GraphSAGE,128,4000,0.921684581,0.563532257,0.998310624
GraphSAGE,128,4000,0.938769763,0.579655626,0.998830611
GraphSAGE,128,4000,0.912850575,0.564111538,0.998710503
